fighter_id,name,current_elo,peak_elo,wins,losses,draws,ncs
1,Scott Morris,1000.0,1115.0,1,1,0,0
1827,Sean Daugherty,885.0,1000.0,0,1,0,0
2,Patrick Smith,1272.04,1332.89,4,1,0,0
1828,Ray Wizard,885.0,1000.0,0,1,0,0
3,Johnny Rhodes,1090.38,1193.27,2,1,0,0
1829,David Levicki,885.0,1000.0,0,1,0,0
4,Frank Hamaker,1115.0,1115.0,1,0,0,0
1830,Thaddeus Luster,885.0,1000.0,0,1,0,0
5,Orlando Wiet,1000.0,1115.0,1,1,0,0
1831,Robert Lucarelli,885.0,1000.0,0,1,0,0
6,Remco Pardoel,1041.54,1230.0,3,2,0,0
1832,Alberta Cerra Leon,885.0,1000.0,0,1,0,0
7,Jason DeLucia,885.0,1115.0,1,2,0,0
1833,Scott Baker,885.0,1000.0,0,1,0,0
8,Royce Gracie,1358.73,1557.96,8,1,1,0
1834,Minoki Ichihara,885.0,1000.0,0,1,0,0
1835,Fred Ettish,921.73,1000.0,0,1,0,0
9,Keith Hackney,1098.65,1193.27,2,2,0,0
1836,Emmanuel Yarborough,885.0,1000.0,0,1,0,0
10,Ken Shamrock,1174.17,1506.89,6,5,2,0
1837,Christophe Leninger,856.0,1000.0,0,2,0,0
11,Harold Howard,860.38,1115.0,1,2,0,0
1838,Roland Payne,885.0,1000.0,0,1,0,0
43,Kimo Leopoldo,1048.6,1137.37,2,4,0,0
1839,Felix Lee Mitchell,806.75,1000.0,0,3,0,0
12,Steve Jennum,1074.32,1219.47,2,1,0,0
13,Joe Charles,1068.51,1169.6,2,2,0,0
1840,Kevin Rosier,885.0,1000.0,0,1,0,0
14,Marcus Bossett,921.73,1115.0,1,2,0,0
1841,Eldo Xavier Dias,885.0,1000.0,0,1,0,0
15,Guy Mezger,1163.45,1302.85,4,1,0,0
1842,Jason Fairn,885.0,1000.0,0,1,0,0
1843,Ron van Clief,985.71,1000.0,0,1,0,0
1844,Joe Son,921.73,1000.0,0,1,0,0
1845,Melton Bowen,932.26,1000.0,0,1,0,0
16,Dan Severn,1283.15,1624.63,9,4,0,0
22,Anthony Macias,971.86,1036.73,1,2,0,0
17,Dave Beneteau,1080.9,1230.0,3,3,0,0
1846,Asbel Cancio,885.0,1000.0,0,1,0,0
1847,John Dowdy,921.73,1000.0,0,1,0,0
18,Jon Hess,1115.0,1115.0,1,0,0,0
1848,Andy Anderson,885.0,1000.0,0,1,0,0
19,Todd Medina,1000.0,1115.0,1,1,0,0
1849,Larry Cureton,806.73,1000.0,0,2,0,0
20,Oleg Taktarov,1354.01,1468.84,6,2,1,0
1850,Ernie Verdicia,885.0,1000.0,0,1,0,0
21,Joel Sutton,1193.27,1193.27,2,0,0,0
1851,Jack McGlaughlin,885.0,1000.0,0,1,0,0
1852,He-Man Gipson,848.27,1000.0,0,1,0,0
23,David Abbott,778.11,1313.7,8,10,0,0
1853,John Matua,885.0,1000.0,0,1,0,0
24,Paul Varelans,968.26,1225.99,4,4,0,0
34,Cal Worsham,945.76,1036.73,1,2,0,0
1854,Rudyard Moncayo,949.86,1000.0,0,1,0,0
37,Geza Kalman,1062.21,1062.21,1,1,0,0
25,Onassis Parungao,1115.0,1115.0,1,0,0,0
1855,Francesco Maturi,885.0,1000.0,0,1,0,0
26,Scott Bessac,971.07,1115.0,1,1,0,0
1856,David Hood,885.0,1000.0,0,1,0,0
1857,Gerry Harris,885.0,1000.0,0,1,0,0
27,Mark Hall,1098.41,1189.47,4,3,0,0
1858,Ryan Parker,921.73,1000.0,0,1,0,0
28,Marco Ruas,1105.66,1402.28,4,2,0,0
1859,Trent Jenkins,882.32,1000.0,0,1,0,0
29,Sam Adkins,998.58,1115.0,2,2,0,0
1860,Keith Mielke,885.0,1000.0,0,1,0,0
30,Don Frye,1476.0,1476.0,9,1,0,0
1861,Thomas Ramirez,885.0,1000.0,0,1,0,0
55,Joe Moreira,1037.61,1037.61,1,1,0,0
31,Jerry Bohlander,1130.99,1324.56,5,2,0,0
40,Scott Ferrozzo,1093.54,1251.54,3,2,0,0
32,Gary Goodridge,1104.0,1230.0,4,4,0,0
1862,Paul Herrera,885.0,1000.0,0,1,0,0
33,Steve Nelmark,1080.95,1193.27,2,1,0,0
42,Tai Bowden,1036.73,1036.73,1,1,0,0
1863,Zane Frazier,848.27,1000.0,0,1,0,0
35,Rafael Carino,1115.0,1115.0,1,0,0,0
1864,Matt Andersen,885.0,1000.0,0,1,0,0
36,Mark Schultz,1151.73,1151.73,1,0,0,0
1865,Koji Kitao,920.11,1000.0,0,1,0,0
108,Amaury Bitetti,1096.41,1096.41,1,1,0,0
1866,Dieusel Berto,859.52,1000.0,0,1,0,0
38,Brian Johnston,946.49,1171.1,2,4,0,0
1867,Scott Fiedler,885.0,1000.0,0,1,0,0
39,Mark Coleman,1041.79,1632.62,7,5,0,0
1868,Moti Horenstein,806.73,1000.0,0,2,0,0
1869,John Campetella,872.89,1000.0,0,1,0,0
1870,Sam Fulton,780.53,1000.0,0,2,0,0
41,Roberto Traven,963.27,1115.0,1,1,0,0
1871,Dave Berry,885.0,1000.0,0,1,0,0
1872,Julian Sanchez,979.75,1000.0,0,1,0,0
1873,Reza Nasri,911.99,1000.0,0,1,0,0
