fight_fighter_id,event_id,fighter_id,opponent_id,result,fighter_pre_elo,fighter_post_elo,opponent_elo,weight_class,method,round,time
1,739,1,1827,win,1000.0,1115.0,1000.0,Open Weight,SUB Guillotine Choke,1,0:20
2,739,1827,1,loss,1000.0,885.0,1000.0,Open Weight,SUB Guillotine Choke,1,0:20
3,739,2,1828,win,1000.0,1115.0,1000.0,Open Weight,SUB Guillotine Choke,1,0:58
4,739,1828,2,loss,1000.0,885.0,1000.0,Open Weight,SUB Guillotine Choke,1,0:58
5,739,3,1829,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO Punches,1,12:13
6,739,1829,3,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO Punches,1,12:13
7,739,4,1830,win,1000.0,1115.0,1000.0,Open Weight,SUB Keylock,1,4:52
8,739,1830,4,loss,1000.0,885.0,1000.0,Open Weight,SUB Keylock,1,4:52
9,739,5,1831,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO,1,2:50
10,739,1831,5,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO,1,2:50
11,739,6,1832,win,1000.0,1115.0,1000.0,Open Weight,SUB Ezekiel Choke,1,9:51
12,739,1832,6,loss,1000.0,885.0,1000.0,Open Weight,SUB Ezekiel Choke,1,9:51
13,739,7,1833,win,1000.0,1115.0,1000.0,Open Weight,SUB Triangle Choke,1,6:41
14,739,1833,7,loss,1000.0,885.0,1000.0,Open Weight,SUB Triangle Choke,1,6:41
15,739,8,1834,win,1000.0,1115.0,1000.0,Open Weight,SUB Armbar,1,5:08
16,739,1834,8,loss,1000.0,885.0,1000.0,Open Weight,SUB Armbar,1,5:08
17,739,2,1,win,1115.0,1230.0,1115.0,Open Weight,KO/TKO Elbows,1,0:30
18,739,1,2,loss,1115.0,1000.0,1115.0,Open Weight,KO/TKO Elbows,1,0:30
19,739,3,1835,win,1115.0,1193.27,1000.0,Open Weight,SUB Bulldog Choke,1,3:07
20,739,1835,3,loss,1000.0,921.73,1115.0,Open Weight,SUB Bulldog Choke,1,3:07
21,739,6,5,win,1115.0,1230.0,1115.0,Open Weight,KO/TKO Elbows,1,1:29
22,739,5,6,loss,1115.0,1000.0,1115.0,Open Weight,KO/TKO Elbows,1,1:29
23,739,8,7,win,1115.0,1230.0,1115.0,Open Weight,SUB Armbar,1,1:07
24,739,7,8,loss,1115.0,1000.0,1115.0,Open Weight,SUB Armbar,1,1:07
25,739,2,3,win,1230.0,1332.89,1193.27,Open Weight,SUB Guillotine Choke,1,1:07
26,739,3,2,loss,1193.27,1090.38,1230.0,Open Weight,SUB Guillotine Choke,1,1:07
27,739,8,6,win,1230.0,1345.0,1230.0,Open Weight,SUB Gi Choke,1,1:31
28,739,6,8,loss,1230.0,1115.0,1230.0,Open Weight,SUB Gi Choke,1,1:31
29,739,8,2,win,1345.0,1455.99,1332.89,Open Weight,KO/TKO Punches,1,1:17
30,739,2,8,loss,1332.89,1221.9,1345.0,Open Weight,KO/TKO Punches,1,1:17
31,738,9,1836,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO Punches,1,1:59
32,738,1836,9,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO Punches,1,1:59
33,738,10,1837,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO Punches,1,4:49
34,738,1837,10,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO Punches,1,4:49
35,738,11,1838,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO Punches,1,0:46
36,738,1838,11,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO Punches,1,0:46
37,738,8,43,win,1455.99,1471.53,1000.0,Open Weight,SUB Armbar,1,4:40
38,738,43,8,loss,1000.0,984.46,1455.99,Open Weight,SUB Armbar,1,4:40
39,738,10,1839,win,1115.0,1193.27,1000.0,Open Weight,SUB Rear Naked Choke,1,4:34
40,738,1839,10,loss,1000.0,921.73,1115.0,Open Weight,SUB Rear Naked Choke,1,4:34
41,738,12,11,win,1000.0,1151.73,1115.0,Open Weight,KO/TKO Punches,1,1:27
42,738,11,12,loss,1115.0,963.27,1000.0,Open Weight,KO/TKO Punches,1,1:27
43,737,13,1840,win,1000.0,1115.0,1000.0,Open Weight,SUB Armbar,1,0:14
44,737,1840,13,loss,1000.0,885.0,1000.0,Open Weight,SUB Armbar,1,0:14
45,737,14,1841,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO,1,4:55
46,737,1841,14,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO,1,4:55
47,737,15,1842,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO,1,2:13
48,737,1842,15,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO,1,2:13
49,737,8,1843,win,1471.53,1485.82,1000.0,Open Weight,SUB Rear Naked Choke,1,3:49
50,737,1843,8,loss,1000.0,985.71,1471.53,Open Weight,SUB Rear Naked Choke,1,3:49
51,737,9,1844,win,1115.0,1193.27,1000.0,Open Weight,SUB Other - Choke,1,2:44
52,737,1844,9,loss,1000.0,921.73,1115.0,Open Weight,SUB Other - Choke,1,2:44
53,737,12,1845,win,1151.73,1219.47,1000.0,Open Weight,SUB Armbar,1,4:47
54,737,1845,12,loss,1000.0,932.26,1151.73,Open Weight,SUB Armbar,1,4:47
55,737,16,22,win,1000.0,1115.0,1000.0,Open Weight,SUB Rear Naked Choke,1,1:45
56,737,22,16,loss,1000.0,885.0,1000.0,Open Weight,SUB Rear Naked Choke,1,1:45
57,737,8,9,win,1485.82,1521.83,1193.27,Open Weight,SUB Armbar,1,5:32
58,737,9,8,loss,1193.27,1157.26,1485.82,Open Weight,SUB Armbar,1,5:32
59,737,16,14,win,1115.0,1230.0,1115.0,Open Weight,SUB Arm Triangle,1,0:52
60,737,14,16,loss,1115.0,1000.0,1115.0,Open Weight,SUB Arm Triangle,1,0:52
61,737,8,16,win,1521.83,1557.96,1230.0,Open Weight,SUB Triangle Choke,1,15:49
62,737,16,8,loss,1230.0,1193.87,1521.83,Open Weight,SUB Triangle Choke,1,15:49
63,736,17,1846,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO,1,0:21
64,736,1846,17,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO,1,0:21
65,736,15,1847,win,1115.0,1193.27,1000.0,Open Weight,KO/TKO Punches,1,2:02
66,736,1847,15,loss,1000.0,921.73,1115.0,Open Weight,KO/TKO Punches,1,2:02
67,736,18,1848,win,1000.0,1115.0,1000.0,Open Weight,KO/TKO Knees,1,1:23
68,736,1848,18,loss,1000.0,885.0,1000.0,Open Weight,KO/TKO Knees,1,1:23
69,736,19,1849,win,1000.0,1115.0,1000.0,Open Weight,SUB Forearm Choke,1,2:55
70,736,1849,19,loss,1000.0,885.0,1000.0,Open Weight,SUB Forearm Choke,1,2:55
71,736,20,1850,win,1000.0,1115.0,1000.0,Open Weight,SUB Scarf Hold,1,2:23
72,736,1850,20,loss,1000.0,885.0,1000.0,Open Weight,SUB Scarf Hold,1,2:23
73,736,16,13,win,1193.87,1283.2,1115.0,Open Weight,SUB Rear Naked Choke,1,1:38
74,736,13,16,loss,1115.0,1025.67,1193.87,Open Weight,SUB Rear Naked Choke,1,1:38
75,736,17,19,win,1115.0,1230.0,1115.0,Open Weight,KO/TKO Punches,1,2:12
76,736,19,17,loss,1115.0,1000.0,1115.0,Open Weight,KO/TKO Punches,1,2:12
77,736,16,20,win,1283.2,1346.5,1115.0,Open Weight,KO/TKO,1,4:21
78,736,20,16,loss,1115.0,1051.7,1283.2,Open Weight,KO/TKO,1,4:21
79,736,10,8,draw,1193.27,1295.72,1557.96,Open Weight,Other,2,5:00
80,736,8,10,draw,1557.96,1455.51,1193.27,Open Weight,Other,2,5:00
81,736,16,17,win,1346.5,1424.32,1230.0,Open Weight,SUB Keylock,1,3:01
82,736,17,16,loss,1230.0,1152.18,1346.5,Open Weight,SUB Keylock,1,3:01
