event,fighter_1,fighter_2,result,weight_class,method,round,time
UFC 318: Holloway vs. Poirier 3,Max Holloway,Dustin Poirier,win,Lightweight,U-DEC,5,5:00
UFC 318: Holloway vs. Poirier 3,Paulo Costa,Roman Kopylov,win,Middleweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,Daniel Rodriguez,Kevin Holland,win,Welterweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,Patricio Freire,Dan Ige,win,Featherweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,Michael Johnson,Daniel Zellhuber,win,Lightweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,Vinicius Oliveira,Kyler Phillips,win,Bantamweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,Brendan Allen,Marvin Vettori,win,Middleweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,Nikolay Veretennikov,Francisco Prado,win,Welterweight,S-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,Ateba Gautier,Robert Valentin,win,Middleweight,KO/TKO Punch,1,1:10
UFC 318: Holloway vs. Poirier 3,Islam Dulatov,Adam Fugitt,win,Welterweight,KO/TKO Punch,1,4:06
UFC 318: Holloway vs. Poirier 3,Jimmy Crute,Marcin Prachnio,win,Light Heavyweight,SUB Armbar,1,4:42
UFC 318: Holloway vs. Poirier 3,Ryan Spann,Lukasz Brzeski,win,Heavyweight,SUB Guillotine Choke,1,2:47
UFC 318: Holloway vs. Poirier 3,Brunno Ferreira,Jackson McVey,win,Middleweight,SUB Armbar,1,3:35
UFC 318: Holloway vs. Poirier 3,Carli Judice,Nicolle Caliari,win,Women's Flyweight,KO/TKO Knee,3,1:30
UFC Fight Night: Lewis vs. Teixeira,Derrick Lewis,Tallison Teixeira,win,Heavyweight,KO/TKO Punches,1,0:35
UFC Fight Night: Lewis vs. Teixeira,Gabriel Bonfim,Stephen Thompson,win,Welterweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,Steve Garcia,Calvin Kattar,win,Featherweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,Morgan Charriere,Nate Landwehr,win,Featherweight,KO/TKO Punch,3,0:27
UFC Fight Night: Lewis vs. Teixeira,Vitor Petrino,Austen Lane,win,Heavyweight,SUB Rear Naked Choke,1,4:16
UFC Fight Night: Lewis vs. Teixeira,Tuco Tokkos,Junior Tafa,win,Light Heavyweight,SUB Arm Triangle,2,4:25
UFC Fight Night: Lewis vs. Teixeira,Chris Curtis,Max Griffin,win,Welterweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,Jake Matthews,Chidi Njokuani,win,Welterweight,SUB Rear Naked Choke,1,1:09
UFC Fight Night: Lewis vs. Teixeira,Eduarda Moura,Lauren Murphy,win,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,Valter Walker,Kennedy Nzechukwu,win,Heavyweight,SUB Heel Hook,1,0:54
UFC Fight Night: Lewis vs. Teixeira,Mike Davis,Mitch Ramirez,win,Lightweight,KO/TKO Punches,2,4:08
UFC Fight Night: Lewis vs. Teixeira,Fatima Kline,Melissa Martinez,win,Women's Strawweight,KO/TKO Kick,3,2:36
UFC 317: Topuria vs. Oliveira,Ilia Topuria,Charles Oliveira,win,Lightweight,KO/TKO Punch,1,2:27
UFC 317: Topuria vs. Oliveira,Alexandre Pantoja,Kai Kara-France,win,Flyweight,SUB Rear Naked Choke,3,1:55
UFC 317: Topuria vs. Oliveira,Joshua Van,Brandon Royval,win,Flyweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,Beneil Dariush,Renato Moicano,win,Lightweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,Payton Talbott,Felipe Lima,win,Bantamweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,Gregory Rodrigues,Jack Hermansson,win,Middleweight,KO/TKO Punch,1,4:21
UFC 317: Topuria vs. Oliveira,Jose Delgado,Hyder Amil,win,Featherweight,KO/TKO Knee,1,0:26
UFC 317: Topuria vs. Oliveira,Tracy Cortez,Viviane Araujo,win,Women's Flyweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,Terrance McKinney,Viacheslav Borshchev,win,Lightweight,SUB Guillotine Choke,1,0:55
UFC 317: Topuria vs. Oliveira,Jacobe Smith,Niko Price,win,Welterweight,SUB Rear Naked Choke,2,4:03
UFC 317: Topuria vs. Oliveira,Jhonata Diniz,Alvin Hines,win,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Khalil Rountree Jr.,Jamahal Hill,win,Light Heavyweight,U-DEC,5,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Rafael Fiziev,Ignacio Bahamondes,win,Lightweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Curtis Blaydes,Rizvan Kuniev,win,Heavyweight,S-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Myktybek Orolbai,Tofiq Musayev,win,Catch Weight,SUB Kimura,1,4:35
UFC Fight Night: Hill vs. Rountree Jr.,Nazim Sadykhov,Nikolas Motta,win,Lightweight,KO/TKO Punches,2,4:17
UFC Fight Night: Hill vs. Rountree Jr.,Muhammad Naimov,Bogdan Grad,win,Featherweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Seokhyeon Ko,Oban Elliott,win,Welterweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,JunYong Park,Ismail Naurdiev,win,Middleweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Daria Zhelezniakova,Melissa Mullins,win,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Klaudia Sygula,Irina Alekseeva,win,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Tagir Ulanbekov,Azat Maksum,win,Flyweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,Mohammed Usman,Hamdy Abdelwahab,win,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,Kamaru Usman,Joaquin Buckley,win,Welterweight,U-DEC,5,5:00
UFC Fight Night: Usman vs. Buckley,Rose Namajunas,Miranda Maverick,win,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,Edmen Shahbazyan,Andre Petroski,win,Middleweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,Raoni Barcelos,Cody Garbrandt,win,Bantamweight,U-DEC,3,5:00
